WKT,fishing_category_FO,mw_fishinghours,ecoregion,stat_rec,c_square,lat,lon
"POLYGON ((-29.95 65.5,-29.95 65.55,-29.9 65.55,-29.9 65.5,-29.95 65.5))",Otter,2.62,Greenland Sea,60C0,7602:459:459:1,65.525,-29.925
"POLYGON ((-36.15 64.15,-36.15 64.2,-36.1 64.2,-36.1 64.15,-36.15 64.15))",Otter,7.2,Greenland Sea,57B3,7603:246:111:3,64.175,-36.125
"POLYGON ((-30.8 66.05,-30.8 66.1,-30.75 66.1,-30.75 66.05,-30.8 66.05))",Otter,1.756,Greenland Sea,61B9,7603:360:207:4,66.075,-30.775
"POLYGON ((-36.05 64.15,-36.05 64.2,-36 64.2,-36 64.15,-36.05 64.15))",Otter,3,Greenland Sea,57B3,7603:246:110:3,64.175,-36.025
"POLYGON ((-36.45 64.35,-36.45 64.4,-36.4 64.4,-36.4 64.35,-36.45 64.35))",Otter,0.93,Greenland Sea,57B3,7603:246:134:3,64.375,-36.425
"POLYGON ((-39.95 62.55,-39.95 62.6,-39.9 62.6,-39.9 62.55,-39.95 62.55))",Otter,0.9,Greenland Sea,54B0,7603:229:459:3,62.575,-39.925
"POLYGON ((-35.95 64.15,-35.95 64.2,-35.9 64.2,-35.9 64.15,-35.95 64.15))",Otter,3.325,Greenland Sea,57B4,7603:245:219:3,64.175,-35.925
"POLYGON ((-25.75 67.7,-25.75 67.75,-25.7 67.75,-25.7 67.7,-25.75 67.7))",Otter,38.565,Greenland Sea,64C4,7602:475:477:1,67.725,-25.725
"POLYGON ((-30.55 65.4,-30.55 65.45,-30.5 65.45,-30.5 65.4,-30.55 65.4))",Otter,0.735,Greenland Sea,59B9,7603:350:245:1,65.425,-30.525
"POLYGON ((-40.25 62.1,-40.25 62.15,-40.2 62.15,-40.2 62.1,-40.25 62.1))",Otter,36.535,Greenland Sea,53A3,7604:120:112:1,62.125,-40.225
"POLYGON ((-31 65.55,-31 65.6,-30.95 65.6,-30.95 65.55,-31 65.55))",Otter,8.56252,Greenland Sea,60B9,7603:350:459:4,65.575,-30.975
"POLYGON ((-30.4 66.4,-30.4 66.45,-30.35 66.45,-30.35 66.4,-30.4 66.4))",Otter,10.3107083325,Greenland Sea,61B9,7603:360:143:2,66.425,-30.375
"POLYGON ((-39.65 63.2,-39.65 63.25,-39.6 63.25,-39.6 63.2,-39.65 63.2))",Otter,136.741666666667,Greenland Sea,55B0,7603:239:226:1,63.225,-39.625
"POLYGON ((-30.35 66.35,-30.35 66.4,-30.3 66.4,-30.3 66.35,-30.35 66.35))",Otter,2.57415833325,Greenland Sea,61B9,7603:360:133:3,66.375,-30.325
"POLYGON ((-35.25 64.65,-35.25 64.7,-35.2 64.7,-35.2 64.65,-35.25 64.65))",Otter,6.2,Greenland Sea,58B4,7603:245:362:3,64.675,-35.225
"POLYGON ((-39.9 62.75,-39.9 62.8,-39.85 62.8,-39.85 62.75,-39.9 62.75))",Otter,1.65,Greenland Sea,54B0,7603:229:478:4,62.775,-39.875
"POLYGON ((-36.05 64.35,-36.05 64.4,-36 64.4,-36 64.35,-36.05 64.35))",Otter,0.9,Greenland Sea,57B3,7603:246:130:3,64.375,-36.025
"POLYGON ((-30.8 66.1,-30.8 66.15,-30.75 66.15,-30.75 66.1,-30.8 66.1))",Otter,3.257,Greenland Sea,61B9,7603:360:217:2,66.125,-30.775
"POLYGON ((-36.1 65.15,-36.1 65.2,-36.05 65.2,-36.05 65.15,-36.1 65.15))",Otter,3,Greenland Sea,59B3,7603:456:110:4,65.175,-36.075
"POLYGON ((-25.4 68.1,-25.4 68.15,-25.35 68.15,-25.35 68.1,-25.4 68.1))",Otter,22.82,Greenland Sea,65C4,7602:485:113:2,68.125,-25.375
"POLYGON ((-26.5 67.15,-26.5 67.2,-26.45 67.2,-26.45 67.15,-26.5 67.15))",Otter,3.6,Greenland Sea,63C3,7602:476:114:4,67.175,-26.475
"POLYGON ((-30.7 66.85,-30.7 66.9,-30.65 66.9,-30.65 66.85,-30.7 66.85))",Otter,0.912,Greenland Sea,62B9,7603:360:486:4,66.875,-30.675
"POLYGON ((-40.65 62.2,-40.65 62.25,-40.6 62.25,-40.6 62.2,-40.65 62.2))",Otter,19.4725,Greenland Sea,53A3,7604:120:226:1,62.225,-40.625
"POLYGON ((-39.85 63.15,-39.85 63.2,-39.8 63.2,-39.8 63.15,-39.85 63.15))",Otter,0.75,Greenland Sea,55B0,7603:239:218:3,63.175,-39.825
