"StockKeyLabel","AssessmentYear","Ecoregion","AdviceCategory","AssessmentKey","lineNumber","lineDescription","fishingPressure","stockSize","stockSizeStatus","fishingPressureStatus","year","status","statusicon","type"
"ldb.27.7b-k8abd",2021,"Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","PA","14512","3","Management plan","F<sub>MGT</sub>","B<sub>MGT</sub>","Not applicable","Not applicable",2020,0,"http://sg.ices.dk/download/icons/0.png","Fishing pressure"
"ldb.27.7b-k8abd",2021,"Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","PA","14512","3","Management plan","F<sub>MGT</sub>","B<sub>MGT</sub>","Not applicable","Not applicable",2021,0,"http://sg.ices.dk/download/icons/0.png","Fishing pressure"
"ldb.27.7b-k8abd",2021,"Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","PA","14512","3","Management plan","F<sub>MGT</sub>","B<sub>MGT</sub>","Not applicable","Not applicable",2019,0,"http://sg.ices.dk/download/icons/0.png","Stock Size"
"ldb.27.7b-k8abd",2021,"Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","PA","14512","3","Management plan","F<sub>MGT</sub>","B<sub>MGT</sub>","Not applicable","Not applicable",2020,0,"http://sg.ices.dk/download/icons/0.png","Stock Size"
"ldb.27.7b-k8abd",2021,"Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","PA","14512","3","Management plan","F<sub>MGT</sub>","B<sub>MGT</sub>","Not applicable","Not applicable",2021,0,"http://sg.ices.dk/download/icons/0.png","Stock Size"
"ldb.27.7b-k8abd",2021,"Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","PA","14512","4","Qualitative evaluation","-","-","Unknown","Unknown",2019,6,"http://sg.ices.dk/download/icons/6.png","Fishing pressure"
"ldb.27.7b-k8abd",2021,"Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","PA","14512","4","Qualitative evaluation","-","-","Unknown","Unknown",2020,6,"http://sg.ices.dk/download/icons/6.png","Fishing pressure"
"ldb.27.7b-k8abd",2021,"Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","PA","14512","4","Qualitative evaluation","-","-","Unknown","Unknown",2021,6,"http://sg.ices.dk/download/icons/6.png","Fishing pressure"
"ldb.27.7b-k8abd",2021,"Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","PA","14512","4","Qualitative evaluation","-","-","Unknown","Unknown",2019,6,"http://sg.ices.dk/download/icons/6.png","Stock Size"
"ldb.27.7b-k8abd",2021,"Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","PA","14512","4","Qualitative evaluation","-","-","Unknown","Unknown",2020,6,"http://sg.ices.dk/download/icons/6.png","Stock Size"
"ldb.27.7b-k8abd",2021,"Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","PA","14512","4","Qualitative evaluation","-","-","Unknown","Unknown",2021,6,"http://sg.ices.dk/download/icons/6.png","Stock Size"
"ldb.27.8c9a",2021,"Bay of Biscay and the Iberian Coast Ecoregion","MP","16698","1","Maximum sustainable yield","F<sub>MSY</sub>","MSY B<sub>trigger</sub>","Above trigger","Appropriate",2018,1,"http://sg.ices.dk/download/icons/1.png","Fishing pressure"
"ldb.27.8c9a",2021,"Bay of Biscay and the Iberian Coast Ecoregion","MP","16698","1","Maximum sustainable yield","F<sub>MSY</sub>","MSY B<sub>trigger</sub>","Above trigger","Appropriate",2019,1,"http://sg.ices.dk/download/icons/1.png","Fishing pressure"
"ldb.27.8c9a",2021,"Bay of Biscay and the Iberian Coast Ecoregion","MP","16698","1","Maximum sustainable yield","F<sub>MSY</sub>","MSY B<sub>trigger</sub>","Above trigger","Appropriate",2020,1,"http://sg.ices.dk/download/icons/1.png","Fishing pressure"
"ldb.27.8c9a",2021,"Bay of Biscay and the Iberian Coast Ecoregion","MP","16698","1","Maximum sustainable yield","F<sub>MSY</sub>","MSY B<sub>trigger</sub>","Above trigger","Appropriate",2019,1,"http://sg.ices.dk/download/icons/1.png","Stock Size"
"ldb.27.8c9a",2021,"Bay of Biscay and the Iberian Coast Ecoregion","MP","16698","1","Maximum sustainable yield","F<sub>MSY</sub>","MSY B<sub>trigger</sub>","Above trigger","Appropriate",2020,1,"http://sg.ices.dk/download/icons/1.png","Stock Size"
"ldb.27.8c9a",2021,"Bay of Biscay and the Iberian Coast Ecoregion","MP","16698","1","Maximum sustainable yield","F<sub>MSY</sub>","MSY B<sub>trigger</sub>","Above trigger","Appropriate",2021,1,"http://sg.ices.dk/download/icons/1.png","Stock Size"
"ldb.27.8c9a",2021,"Bay of Biscay and the Iberian Coast Ecoregion","MP","16698","2","Precautionary approach","F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>","Full reproductive capacity","Appropriate",2018,1,"http://sg.ices.dk/download/icons/1.png","Fishing pressure"
"ldb.27.8c9a",2021,"Bay of Biscay and the Iberian Coast Ecoregion","MP","16698","2","Precautionary approach","F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>","Full reproductive capacity","Appropriate",2019,1,"http://sg.ices.dk/download/icons/1.png","Fishing pressure"
"ldb.27.8c9a",2021,"Bay of Biscay and the Iberian Coast Ecoregion","MP","16698","2","Precautionary approach","F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>","Full reproductive capacity","Appropriate",2020,1,"http://sg.ices.dk/download/icons/1.png","Fishing pressure"
